Simulation Time,Sender,Packet Type,Number of Vehicles
10.027656027861,node[8],bsm,9
10.0332562892,node[5],bsm,9
10.040425794269,node[3],bsm,9
10.043884148146,node[2],bsm,9
10.052683912776,node[0],bsm,9
10.063327301783,node[4],bsm,9
10.075352104963,node[6],bsm,9
10.101898016571,node[1],bsm,10
10.11057190788,node[9],bsm,10
10.122355413251,node[7],bsm,10
10.127656027861,node[8],bsm,10
10.1332562892,node[5],bsm,10
10.140425794269,node[3],bsm,10
10.143884148146,node[2],bsm,10
10.152683912776,node[0],bsm,10
10.163327301783,node[4],bsm,10
10.175352104963,node[6],bsm,10
10.201898016571,node[1],bsm,10
10.21057190788,node[9],bsm,10
10.222355413251,node[7],bsm,10
10.227656027861,node[8],bsm,10
10.2332562892,node[5],bsm,10
10.240425794269,node[3],bsm,10
10.243884148146,node[2],bsm,10
10.252683912776,node[0],bsm,10
10.263327301783,node[4],bsm,10
10.275352104963,node[6],bsm,10
10.301898016571,node[1],bsm,10
10.31057190788,node[9],bsm,10
10.322355413251,node[7],bsm,10
10.327656027861,node[8],bsm,10
10.3332562892,node[5],bsm,10
10.340425794269,node[3],bsm,10
10.343884148146,node[2],bsm,10
10.352683912776,node[0],bsm,10
10.363327301783,node[4],bsm,10
10.375352104963,node[6],bsm,10
10.401898016571,node[1],bsm,10
10.41057190788,node[9],bsm,10
10.422355413251,node[7],bsm,10
10.427656027861,node[8],bsm,10
10.4332562892,node[5],bsm,10
10.440425794269,node[3],bsm,10
10.443884148146,node[2],bsm,10
10.452683912776,node[0],bsm,10
10.463327301783,node[4],bsm,10
10.475352104963,node[6],bsm,10
10.501898016571,node[1],bsm,11
10.51057190788,node[9],bsm,11
10.522355413251,node[7],bsm,11
10.527656027861,node[8],bsm,11
10.5332562892,node[5],bsm,11
10.540425794269,node[3],bsm,11
10.543884148146,node[2],bsm,11
10.552683912776,node[0],bsm,11
10.558241117792,node[10],bsm,11
10.563327301783,node[4],bsm,11
10.575352104963,node[6],bsm,11
10.601898016571,node[1],bsm,11
10.61057190788,node[9],bsm,11
10.622355413251,node[7],bsm,11
10.627656027861,node[8],bsm,11
10.6332562892,node[5],bsm,11
10.640425794269,node[3],bsm,11
10.643884148146,node[2],bsm,11
10.652683912776,node[0],bsm,11
10.658241117792,node[10],bsm,11
10.663327301783,node[4],bsm,11
10.675352104963,node[6],bsm,11
10.701898016571,node[1],bsm,11
10.71057190788,node[9],bsm,11
10.722355413251,node[7],bsm,11
10.727656027861,node[8],bsm,11
10.7332562892,node[5],bsm,11
10.740425794269,node[3],bsm,11
10.743884148146,node[2],bsm,11
10.752683912776,node[0],bsm,11
10.758241117792,node[10],bsm,11
10.763327301783,node[4],bsm,11
10.775352104963,node[6],bsm,11
10.801898016571,node[1],bsm,11
10.81057190788,node[9],bsm,11
10.822355413251,node[7],bsm,11
10.827656027861,node[8],bsm,11
